Country or region,Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Total CO2 Emissions,Country Code,Schizophrenia Disorders (% of population),Depressive Disorders (% of population),Anxiety Disorders (% of population),Bipolar Disorders (% of population),Eating Disorders (% of population),Coal,Oil,Gas,Cement,Flaring,Per Capita,Income Group,Continent,Mental Health Burden,Social Resilience,Happiness Efficiency,Sustainable Happiness Index,Inequality and Pressure Index,Resilient Happiness,Happiness Level,Happiness-Income Group,Log CO2 Emissions
Malta,6.726,32412.2697818499,1.52,0.999,0.564,0.375,0.151,1.649193,MLT,0.27710927,3.1311812,6.2475963,0.9121692,0.42228425,1.1e-05,0.940833,0.708166,0.0,0.0,3.274579,High Income,Europe,10.990340219999998,2.459,0.00020751400766651646,0.5321399044513133,0.5873899613728095,0.2488783950543526,Happy,Happy & High Income,0.9742550653180848
Mauritania,4.49,1767.072710621,1.167,0.489,0.066,0.106,0.088,3.77392,MRT,0.22032183,3.6558447,2.7462342,0.5560791,0.1137088,0.0,3.77392,0.0,0.0,0.0,0.860869,Low Income,Africa,7.29218863,1.3390000000000002,0.0025409254373138304,0.405743351174748,1.0282623957483397,0.45984118941455826,Unhappy,Unhappy & Low Income,1.5631677703401186
Mauritius,5.888,11403.2527870674,1.402,0.798,0.498,0.215,0.06,4.521376,MUS,0.3104569,3.8047628,3.8150282,0.33751646,0.13929899,1.560864,2.960512,0.0,0.0,0.0,3.487965,Upper-Middle Income,Africa,8.40706335,2.1149999999999998,0.000516343898530222,0.4554300670482706,0.5631337501317749,0.331141117175214,Neutral,Neutral & Upper-Middle Income,1.708627104587382
Mexico,6.595,10369.5553568761,1.323,0.861,0.433,0.074,0.073,472.191499,MEX,0.28389058,3.5358298,3.5132816,0.9148764,0.24183847,45.26801,241.897149,157.098863,19.497632,8.429845,3.774956,Upper-Middle Income,North America,8.48971685,1.83,0.0006359964119027364,0.013720111755018145,0.6863550460272394,0.4244929719431127,Happy,Happy & Upper-Middle Income,6.159500167023165
Moldova,5.529,4405.33418162155,1.328,0.739,0.245,0.181,0.0,5.490665,MDA,0.26885495,3.22074,4.078755,0.5182467,0.10844338,0.366648,2.753524,1.734244,0.636249,0.0,1.765776,Lower-Middle Income,Europe,8.195040030000001,1.754,0.0012550693709154302,0.40399818554324046,0.7581066213063007,0.3846501637122102,Neutral,Neutral & Lower-Middle Income,1.870364990798064
Mongolia,5.285,4347.54610314873,1.531,0.667,0.317,0.235,0.038,47.254523,MNG,0.27248925,3.9632094,2.1429229,0.49995935,0.13303629,41.76185,5.005413,0.0,0.487261,0.0,14.618885,Lower-Middle Income,Asia,7.01161719,2.0829999999999997,0.0012156282819341042,0.09739037973763802,0.7334820160390474,0.36185745516327494,Unhappy,Unhappy & Lower-Middle Income,3.8764895643242308
Montenegro,5.523,8909.6538759126,1.361,0.871,0.197,0.142,0.08,2.476864,MNE,0.2888891,2.8178656,3.6586478,0.54094183,0.15447724,1.454608,1.022256,0.0,0.0,0.0,3.92906,Upper-Middle Income,Europe,7.46082157,1.7,0.0006198894005222272,0.5557632067443244,0.8841153840214675,0.4354511763791939,Neutral,Neutral & Upper-Middle Income,1.2461307380818551
Morocco,5.208,3508.09765625,0.782,0.782,0.418,0.036,0.076,68.60754,MAR,0.24282132,5.07854,4.7997293,0.745084,0.18633235,25.259616,36.343216,2.004208,5.0005,0.0,1.889785,Lower-Middle Income,Africa,11.052506970000001,1.236,0.0014845652858954674,0.06537781733873864,0.6807074770361875,0.3812340715501678,Unhappy,Unhappy & Lower-Middle Income,4.242872894806076
Mozambique,4.466,519.09255091362,0.986,0.39,0.494,0.197,0.138,7.146829,MOZ,0.20393638,4.992671,4.035234,0.5785625,0.0839527,0.047632,4.356496,1.729408,1.011357,0.001936,0.235981,Low Income,Africa,9.894356579999998,1.677,0.008603475415202342,0.26207096795198453,0.6768288000858556,0.26915230188069095,Unhappy,Unhappy & Low Income,2.0976287717870035
Myanmar,4.36,1425.98954211903,1.181,0.555,0.525,0.566,0.172,34.609115,MMR,0.27820054,2.1933033,3.9770174,0.3167098,0.09567405,3.931472,19.715984,7.980192,2.938415,0.043052,0.652507,Low Income,Asia,6.86090509,2.272,0.003057525929342379,0.105136192134408,0.6760815737879643,0.27970275923275345,Unhappy,Unhappy & Low Income,3.5726016444113533
